9	66471831	66472048	23	-
3	38291912	38292094	21	-
10	18588361	18588491	21	+
9	70463160	70463394	21	+
11	3832147	3832392	22	-
2	49368617	49368771	21	-
13	57495005	57495194	24	-
8	56322695	56322819	21	-
5	4343449	4343648	24	+
10	26764203	26764421	24	+
6	6562297	6562419	22	-
1	7969936	7970179	24	+
9	37350800	37350914	21	+
6	21468787	21468921	21	-
10	709526	709864	21	+
11	1104948	1105340	21	+
2	16902815	16902922	24	-
2	7413244	7413367	21	-
13	51813671	51813968	21	+
3	304593	304722	21	+
5	40491846	40491982	24	+
3	18899133	18899351	21	+
10	6475823	6476011	22	-
6	35610897	35610995	23	+
9	11531302	11531654	22	+
1	614802	614963	21	+
2	60344579	60344756	24	-
1	10368586	10368973	24	+
11	60619112	60619461	21	+
8	50168674	50168818	24	-
7	20243027	20243245	24	-
10	1206805	1207092	25	+
5	3507088	3507242	22	+
2	36389037	36389280	24	-
13	35193205	35193374	21	+
6	2568455	2568622	21	+
11	56636464	56636682	24	-
8	20127844	20128024	24	-
2	22248708	22249103	23	-
8	33878969	33879275	23	-
12	13510867	13511009	59	-
7	20243028	20243246	24	+
scaffold_64	8436	8567	21	+
7	3175702	3175831	21	+
1	52608266	52608410	21	-
4	47305048	47305274	24	-
13	13905940	13906267	24	-
5	144566	144675	24	-
3	35987164	35987306	24	+
3	9831772	9831941	21	+
2	53874723	53874991	24	-
11	62009462	62009698	24	+
2	23366310	23366481	21	-
8	44962392	44962623	24	-
11	56636465	56636683	24	+
11	54253067	54253278	24	+
9	16980379	16980554	24	+
4	4325733	4326131	21	+
4	34280597	34280994	23	-
5	59731051	59731240	21	-
2	31172747	31172965	24	+
7	25000312	25000712	24	+
5	63155047	63155217	21	+
13	53682034	53682157	21	-
4	761309	761427	21	+
13	32793326	32793432	21	+
9	3144252	3144382	21	-
1	8904516	8904639	21	+
13	41669861	41669987	21	+
11	56602026	56602144	21	-
3	32585617	32585745	21	-
6	44983208	44983413	21	-
1	2950436	2950560	20	+
1	45700827	45700961	21	-
9	4453003	4453126	21	+
6	48890362	48890473	21	+
1	6830146	6830269	21	+
8	56357495	56357714	21	+
1	21225914	21226080	21	-
12	529705	529825	21	+
8	39741850	39741990	21	+
5	63621105	63621294	21	+
13	30659937	30660061	22	-
4	8126522	8126638	21	+
6	44318210	44318386	21	+
3	18882122	18882290	21	+
12	34434313	34434429	21	-
9	5557555	5557677	21	+
7	42597477	42597614	22	+
1	55142279	55142410	21	-
9	29520400	29520520	21	-
4	42364732	42364913	21	-
5	63620951	63621077	21	+
4	32099131	32099251	21	+
7	11589612	11589704	21	+
6	42686471	42686592	21	+
1	3455239	3455360	21	+
7	51360491	51360620	21	-
10	61366920	61367043	21	+
7	10196380	10196512	21	+
1	54983671	54983783	21	+
9	5756942	5757063	20	+
3	284276	284405	21	-
6	3108737	3108929	20	-
13	49567257	49567393	21	-
3	16707057	16707185	21	-
8	49501220	49501359	20	+
7	5099145	5099282	21	+
7	8573919	8574081	21	+
8	49217718	49217834	21	+
7	11947284	11947404	21	-
1	48189570	48189680	21	+
7	3075103	3075235	20	+
7	44742649	44742762	21	+
11	55965078	55965204	21	+
3	40973035	40973150	21	-
11	8958309	8958422	21	+
2	55818484	55818620	21	+
10	48919836	48920201	22	-
13	57698876	57699001	21	-
13	13296464	13296694	21	+
9	14660563	14660696	21	+
12	35358116	35358315	21	-
11	59822102	59822222	21	+
9	63824686	63824816	21	+
1	49314456	49314569	21	-
13	1501268	1501437	20	+
11	954573	954702	21	+
6	49158052	49158176	21	-
7	47550197	47550318	22	-
11	59826554	59826692	20	+
7	22183441	22183541	21	-
5	56859211	56859402	21	+
9	26948235	26948398	20	+
9	8043840	8044023	21	-
8	12520454	12520568	21	-
12	14562947	14563063	21	-
9	282518	282673	22	-
3	41735660	41735766	21	+
9	37350589	37350752	22	+
9	40350396	40350513	22	-
8	36970858	36971042	21	+
3	44612216	44612343	21	-
8	367659	367787	21	-
scaffold_624	2974	3288	21	+
8	53528034	53528234	21	-
6	49174871	49175013	22	-
2	55648666	55648804	20	-
9	25257941	25258159	21	-
2	2250553	2250672	20	-
4	219858	219967	20	-
7	5099405	5099532	21	+
8	9804858	9804999	21	-
11	59816012	59816157	21	+
6	50912777	50912953	20	+
10	52647138	52647253	21	-
2	62574591	62574728	21	+
6	44230719	44230830	21	+
7	5569510	5569627	22	+
7	477290	477549	20	-
13	12663392	12663520	21	+
3	44628149	44628285	21	-
3	44555138	44555263	21	-
1	3166032	3166169	21	-
6	6628737	6628865	22	-
5	4448159	4448270	22	-
8	56232123	56232341	21	+
2	17245932	17246067	20	-
2	61688819	61688927	21	-
4	55320504	55320625	21	-
2	28202429	28202742	21	-
12	11312097	11312206	22	+
2	77564	77664	20	+
5	59108672	59108796	21	+
9	13477607	13477716	21	-
9	22353762	22353888	20	-
4	37771138	37771352	21	+
9	12374097	12374211	21	-
12	13836151	13836285	21	-
13	14698082	14698186	21	-
8	40496565	40496724	21	-
13	1408602	1408724	22	-
5	1562935	1563050	21	+
9	5766004	5766149	21	+
9	12377404	12377519	21	-
7	9582509	9582637	21	-
13	12483764	12483885	21	-
8	38812432	38812553	21	-
1	4243481	4243636	21	+
4	57185635	57185764	21	+
11	2828104	2828217	21	-
5	59365428	59365563	21	-
9	14608130	14608254	20	-
7	9106551	9106670	21	-
13	11402325	11402464	21	-
5	1567454	1567569	21	+
6	16566791	16566941	21	+
13	55312242	55312399	21	+
13	12637339	12637460	21	-
5	59360688	59360816	22	-
9	8086482	8086645	21	+
8	53684321	53684431	21	+
7	1793651	1793764	22	+
8	55810572	55810689	21	+
8	55463782	55463942	21	+
9	12363718	12363865	21	+
5	56775051	56775160	21	+
5	56339335	56339489	22	+
